2026-09-07 01:33:08 [INFO] Starting read-only 10-bit inspection; source=E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] HANDBRAKE BIT-DEPTH INSPECTOR
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] Library   : E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] Workers   : 8
2026-09-07 01:33:08 [INFO] Min size  : 0 MB
2026-09-07 01:33:08 [INFO] ffprobe   : C:\Users\bensm\AppData\Local\Microsoft\WinGet\Links\ffprobe.EXE
2026-09-07 01:33:08 [INFO] Log       : E:\torrents\tools\ReportsAndLogs\10bit\10bit.log
2026-09-07 01:33:08 [INFO] Report    : E:\torrents\tools\ReportsAndLogs\10bit\10bit_report.txt
2026-09-07 01:33:08 [INFO] 
2026-09-07 01:33:08 [INFO] Found 381 canonical MKV movie file(s).
2026-09-07 01:33:08 [INFO] Probe cache: E:\torrents\tools\ReportsAndLogs\state.db (0 entries loaded)
2026-09-07 01:33:09 [INFO] [58/381] SKIP-SDR  Casino Royale (2006).mkv
2026-09-07 01:33:09 [INFO] [59/381] SKIP-SDR  Cars (2006).mkv
2026-09-07 01:33:09 [INFO] [60/381] SKIP-SDR  Captain America The Winter Soldier (2014).mkv
2026-09-07 01:33:09 [INFO] [61/381] SKIP-SDR  Catch Me If You Can (2002).mkv
2026-09-07 01:33:09 [INFO] [62/381] SKIP-SDR  Cast Away (2000).mkv
2026-09-07 01:33:09 [INFO] [63/381] SKIP-SDR  Chicken Little (2005).mkv
2026-09-07 01:33:09 [INFO] [64/381] SKIP-SDR  Charlie and the Chocolate Factory (2005).mkv
2026-09-07 01:33:09 [INFO] [65/381] SKIP-SDR  Children of Men (2006).mkv
2026-09-07 01:33:09 [INFO] [66/381] SKIP-SDR  Cloverfield (2008).mkv
2026-09-07 01:33:09 [INFO] [67/381] SKIP-SDR  Contact (1997).mkv
2026-09-07 01:33:09 [INFO] [68/381] SKIP-SDR  Civil War (2024).mkv
2026-09-07 01:33:09 [INFO] [69/381] SKIP-SDR  Cloudy with a Chance of Meatballs (2009).mkv
2026-09-07 01:33:09 [INFO] [70/381] SKIP-SDR  Chronicle (2012).mkv
2026-09-07 01:33:09 [INFO] [71/381] SKIP-SDR  Coach Carter (2005).mkv
2026-09-07 01:33:09 [INFO] [72/381] SKIP-SDR  Coco (2017).mkv
2026-09-07 01:33:09 [INFO] [73/381] SKIP-SDR  Contagion (2011).mkv
2026-09-07 01:33:09 [INFO] [74/381] SKIP-SDR  Dead Poets Society (1989).mkv
2026-09-07 01:33:09 [INFO] [75/381] SKIP-SDR  Deadpool (2016).mkv
2026-09-07 01:33:09 [INFO] [76/381] SKIP-SDR  Creed (2015).mkv
2026-09-07 01:33:09 [INFO] [77/381] SKIP-SDR  Deadpool 2 (2018).mkv
2026-09-07 01:33:09 [INFO] [78/381] SKIP-SDR  Crazy Rich Asians (2018).mkv
2026-09-07 01:33:09 [INFO] [79/381] SKIP-SDR  Coraline (2009).mkv
